account,classification,num_trades,total_pnl,avg_pnl_per_trade,win_rate,pnl_std,avg_trade_size_usd,avg_fee,sharpe_proxy
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,124625.229446,1246.25229446,0.37,11513.51332809026,15071.008600000001,1.43991995,0.10824257191933223
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,-42078.309495,-44.527311634920636,0.06666666666666667,1288.0545636172128,12080.27055026455,1.9005011544973545,-0.034569429659777495
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,1110127.701763,624.3687861434196,0.5264341957255343,4689.081568193338,17020.494876265468,1.8255600404949381,0.13315374814091438
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,275800.917329,480.48940301219517,0.1602787456445993,7052.544249019912,15134.130383275262,1.5999178710801394,0.06812993808283706
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,124348.96863199999,295.365721216152,0.5819477434679335,1805.9791722402256,23336.999311163898,3.090613083135392,0.16354879710476716
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,-4298.44359818,-25.284962342235293,0.3,301.09435282722626,2156.074411764706,0.3722973363529412,-0.0839768733781078
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,35216.71278151,42.68692458364849,0.576969696969697,222.98143447627922,1846.6767272727272,0.5359783678666666,0.19143712427856646
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,-2234.76957251,-0.8523148636575134,0.4782608695652174,137.80676933312716,981.595171624714,0.21969213253623188,-0.006184854835375832
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,28666.67704704,9.740631004770643,0.4016309887869521,56.89117935077332,2204.2242779476724,0.4711921539109752,0.171215135912598
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,-12194.69403239,-16.93707504498611,0.3611111111111111,137.4437940029979,1506.4890555555558,0.36335264915277776,-0.12322910006847368
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,15525.749777,19.48023811417817,0.37641154328732745,96.24339994320351,6131.710464240904,1.4819763299874529,0.20240596368866975
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,1758.4981639999999,351.69963279999996,0.8,690.4716771933164,31941.660000000003,6.9324102,0.509361418312792
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,26205.068284,14.02840914561028,0.3822269807280514,66.02730571240166,7222.6180513918625,2.0968106027837257,0.21246375259827355
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,-102780.096282,-190.33351163333333,0.24444444444444444,1427.878262483215,19419.792833333337,5.111647977777778,-0.1332981365668565
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,-20426.394111,-34.10082489315526,0.0,113.40074439888663,8093.856811352254,2.317284724540902,-0.3007107675872546
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,-25820.018502275,-44.982610631141114,0.2874564459930314,389.6159605302755,806.9836411149826,0.2683035161585366,-0.1154537164491897
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,106878.67091889,14.286682384559551,0.4444592968854431,94.63945905635556,438.0787434834915,0.15122172505146372,0.1509590452757361
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,13152.948826873,9.40167893271837,0.4303073624017155,66.11919266675271,656.0465117941386,0.19269194576626164,0.14219288762498605
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,30700.34344381,10.336815974346802,0.4484848484848485,51.189344734520205,501.44102693602696,0.16574024484511785,0.20193296139960226
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,5334.5025002511,6.014095265221083,0.46674182638105977,37.42468213576899,687.0997632468997,0.1930629805511838,0.1606986331481238
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,11323.763570000001,101.10503187500001,0.6875,146.70691201796615,2477.321696428571,0.8168233660714286,0.6891633835399548
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,89363.307962,60.4623193247632,0.4878213802435724,281.3612152871231,3409.7221921515566,1.0363616021650879,0.21489216011191412
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,3807.576182,9.993638272965878,0.4330708661417323,65.91632471965328,1534.1833595800524,0.45043199475065615,0.15161097520939643
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,19741.859273000002,78.03106432015811,0.541501976284585,444.5310726927427,4041.240158102767,1.3194216442687747,0.17553568043620815
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,41313.301285,40.70275988669951,0.5753694581280788,196.8646806301147,3194.968620689655,0.9650658039408867,0.20675501444149422
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,-57009.547784,-216.76634138403043,0.11026615969581749,638.0163369322833,1620.1930798479086,0.15863882509505703,-0.3397504559621288
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,30967.925702120003,192.347364609441,0.45962732919254656,855.0536041275824,2791.594658385093,0.15065881291925468,0.22495357446705866
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,-515.801587,-2.01484994921875,0.6796875,145.87506464127512,1320.9939453125,0.19040113671875,-0.013812161483345466
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,-3561.5383175,-34.91704232843137,0.7254901960784313,245.15233570761416,1532.4567647058823,0.289689544117647,-0.14242998023105063
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,-1231.712763,-37.32462918181818,0.6060606060606061,234.82670979925726,1207.8618181818183,0.08501996969696969,-0.1589454164465589
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,-76806.45705766001,-46.04703660531175,0.302158273381295,978.1925874093768,4041.219688249401,0.37587662149880097,-0.047073589800206615
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,14320.088891309999,124.52251209834782,0.4956521739130435,383.6050169452673,4752.3967826086955,0.7503997712173913,0.3246112709628995
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,54195.205666,36.84242397416723,0.3222297756628144,316.6416029873995,4219.732807613868,0.3329812664853841,0.11635370597726967
